code,name
AUD,澳大利亚元
BGN,保加利亚列弗
BRL,巴西雷亚尔
CAD,加拿大元
CHF,瑞士法郎
CNY,人民币元
CZK,捷克克朗
DKK,丹麦克朗
GBP,英镑
HKD,港元
HUF,匈牙利福林
IDR,印尼盾
ILS,以色列新谢克尔
INR,印度卢比
ISK,冰岛克朗
JPY,日元
KRW,韩圆
MXN,墨西哥比索
MYR,马来西亚令吉
NOK,挪威克朗
NZD,新西兰元
PHP,菲律宾比索
PLN,波兰兹罗提
RON,罗马尼亚列伊
SEK,瑞典克朗
SGD,新加坡元
THB,泰铢
TRY,土耳其里拉
USD,美元
ZAR,南非兰特
